ward,name,url
Avonmouth and Lawrence Weston,LNs for Avonmouth and Lawrence Weston,https://www.facebook.com/groups/569735543690072/about/
Stoke Bishop,LNs for Westbury and Stoke Bishop,https://www.facebook.com/groups/3171068569616654/
Westbury-on-Trym and Henleaze,LNs for Westbury and Stoke Bishop,https://www.facebook.com/groups/3171068569616654/
Henbury and Brentry,"LNs for Southmead, Henbury and Brentry",https://www.facebook.com/groups/3124578324324066/about
Southmead,"LNs for Southmead, Henbury and Brentry",https://www.facebook.com/groups/3124578324324066/about
Horfield,LNs for Horfield and Lockleaze,https://www.facebook.com/groups/585412322040750
Lockleaze,LNs for Horfield and Lockleaze,https://www.facebook.com/groups/585412322040750
Clifton,LNs for Clifton,https://www.facebook.com/groups/2681167458831309/
Clifton Down,LNs for Clifton,https://www.facebook.com/groups/2681167458831309/
Cotham,LNs for Cotham and Redland,https://www.facebook.com/groups/632482417672621/
Redland (south of Cranbrook Road),LNs for Cotham and Redland,https://www.facebook.com/groups/632482417672621/
Redland (north of Cranbrook Road),LNs for Bishopston and Ashley Down,https://www.facebook.com/groups/1289243101417752/about/
Bishopston & Ashley Down,LNs for Bishopston and Ashley Down,https://www.facebook.com/groups/1289243101417752/about/
Ashley,LNs for Ashley,https://www.facebook.com/groups/1574194199415386/
Lawrence Hill,"LNs for Old Market, Lawrence Hill and Easton",https://www.facebook.com/groups/350403126359750
Easton,"LNs for Old Market, Lawrence Hill and Easton",https://www.facebook.com/groups/350403126359750
Eastville,LNs for Eastville and Fishponds,https://www.facebook.com/groups/289211205662975
Hillfields,LNs for Eastville and Fishponds,https://www.facebook.com/groups/289211205662975
Frome Vale,LNs for Eastville and Fishponds,https://www.facebook.com/groups/289211205662975
St George West,LNs for St George,https://www.facebook.com/groups/1968297230136434
St George Central,LNs for St George,https://www.facebook.com/groups/1968297230136434
St George Troopers Hill,LNs for St George,https://www.facebook.com/groups/1968297230136434
Brislington West,LNs for Brislington,https://www.facebook.com/groups/733016877436209/
Brislington East,LNs for Brislington,https://www.facebook.com/groups/733016877436209/
Knowle,LNs for Knowle and Filwood,https://www.facebook.com/groups/265753021382749/
Filwood,LNs for Knowle and Filwood,https://www.facebook.com/groups/265753021382749/
Windmill Hill,LNs for Windmill Hill and Totterdown,https://www.facebook.com/groups/277234306731159/
Southville,LNs for Southville and Bedminster,https://www.facebook.com/groups/2659306647724208/
Bedminster,LNs for Southville and Bedminster,https://www.facebook.com/groups/2659306647724208/
Stockwood,"LNs for Stockwood, Hengrove and Whitchurch",https://www.facebook.com/groups/793228214816950
Hengrove & Whitchurch Park,"LNs for Stockwood, Hengrove and Whitchurch",https://www.facebook.com/groups/793228214816950
Hartcliffe & Withywood,"LNs for Hartcliffe, Withywood and Bishopsworth",https://www.facebook.com/groups/1204182129944097
Bishopsworth,"LNs for Hartcliffe, Withywood and Bishopsworth",https://www.facebook.com/groups/1204182129944097
Central,"LNs for Central Bristol, Hotwells and Harbourside",https://www.facebook.com/groups/2706528736298797
Hotwells and Harbourside,"LNs for Central Bristol, Hotwells and Harbourside",https://www.facebook.com/groups/2706528736298797